File,mean_particles,File_path,n_samples,time_per_event,code,code_version,algorithm,strategy,radius,power,backend,backend_version
events-pp-20TeV-50GeV.hepmc3.gz,553.64,data/events-pp-20TeV-50GeV.hepmc3.gz,4,516.76,CJetReconstruction,unknown,AntiKt,N2Tiled,1.5,-1,JuliaC,0.3.1
events-pp-30TeV-50GeV.hepmc3.gz,632.29,data/events-pp-30TeV-50GeV.hepmc3.gz,4,612.55,CJetReconstruction,unknown,AntiKt,N2Tiled,1.5,-1,JuliaC,0.3.1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,4,26.89,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,4,39.79,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,data/events-pp-0.5TeV-5GeV.hepmc3.gz,4,68.96,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-pp-1TeV-5GeV.hepmc3.gz,160.36,data/events-pp-1TeV-5GeV.hepmc3.gz,4,106.56,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-pp-2TeV-5Gev.hepmc3.gz,188.21,data/events-pp-2TeV-5Gev.hepmc3.gz,4,134.18,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-pp-2TeV.hepmc3.gz,226.98,data/events-pp-2TeV.hepmc3.gz,4,172.99,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-pp-5TeV-10GeV.hepmc3.gz,284.15,data/events-pp-5TeV-10GeV.hepmc3.gz,4,231.67,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-pp-8TeV-20GeV.hepmc3.gz,354.18,data/events-pp-8TeV-20GeV.hepmc3.gz,4,330.06,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-pp-13TeV-20GeV.hepmc3.gz,431.18,data/events-pp-13TeV-20GeV.hepmc3.gz,4,436.58,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
events-pp-20TeV-20GeV.hepmc3.gz,524.59,data/events-pp-20TeV-20GeV.hepmc3.gz,4,581.93,CJetReconstruction,unknown,AntiKt,N2Tiled,2.0,-1,JuliaC,0.3.1
